strategy,cost_bps,total_return_pct,cagr_pct,annual_vol_pct,sharpe,sortino,max_drawdown_pct,calmar,turnover_units,round_trips_est,positive_month_pct,funding_drag_pct,cost_drag_pct
buy_hold,4.0,89.1491964670653,13.40378346459099,51.04288424139701,0.5017823774747959,0.800905744035825,-77.08301398445457,0.1738876410215894,1.0,0.5,54.09836065573771,0.0,0.04
buy_hold,8.0,89.07524398399953,13.395031964782,51.04253212066939,0.5016311832233397,0.8006588962040427,-77.08301398445448,0.1737741075807364,1.0,0.5,54.09836065573771,0.0,0.08
buy_hold,13.0,88.98280338016149,13.38408872561454,51.04210066502491,0.501442102052421,0.8003503364143151,-77.08301398445447,0.17363214064662474,1.0,0.5,54.09836065573771,0.0,0.13
buy_hold,20.0,88.85338653479407,13.3687609704368,51.041512858721624,0.5011772236644981,0.799918352708696,-77.08301398445448,0.17343329326916185,1.0,0.5,54.09836065573771,0.0,0.2
ema_50d_200d_long_cash,4.0,196.55260911044618,23.928039731056792,38.463964403615094,0.7502169788518825,1.1458852145961587,-51.2031392830496,0.4673158729347281,6.0,3.0,36.0655737704918,0.0,0.24000000000000002
ema_50d_200d_long_cash,8.0,195.8397384506803,23.869191084411945,38.46432500788341,0.7489785667932123,1.143997787967891,-51.24227229406765,0.46581055085598333,6.0,3.0,36.0655737704918,0.0,0.48000000000000004
ema_50d_200d_long_cash,13.0,194.95065883136178,23.795636388390527,38.46484498519526,0.7474292392845019,1.1416337418406515,-51.29116648291709,0.46393244724344185,6.0,3.0,36.0655737704918,0.0,0.7799999999999999
ema_50d_200d_long_cash,20.0,193.70968893128185,23.69267122854073,38.46570216207446,0.7452577477687696,1.1383152466240984,-51.359577140783344,0.46130970205607436,6.0,3.0,36.0655737704918,0.0,1.2
rsi_pullback_long_cash,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi_pullback_long_cash,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi_pullback_long_cash,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi_pullback_long_cash,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vol_target_momentum_long_cash,4.0,124.03872997740142,17.25638120683555,24.11841845068534,0.780624878129698,1.1904772772493966,-31.784992900029096,0.5429097077702902,131.45720626316526,65.72860313158263,36.0655737704918,0.0,5.258288250526612
vol_target_momentum_long_cash,8.0,112.56428201574305,16.04606453196076,24.117956977417943,0.7376126822655917,1.124553141374419,-33.43748364452445,0.4798825384872638,131.45720626316526,65.72860313158263,34.42622950819672,0.0,10.516576501053224
vol_target_momentum_long_cash,13.0,99.03959240780442,14.5502114102243,24.1191979011925,0.6837935840925734,1.0420747876653784,-35.44764867813046,0.4104704247760473,131.45720626316526,65.72860313158263,34.42622950819672,0.0,17.089436814211485
vol_target_momentum_long_cash,20.0,81.53067276209993,12.487418560915797,24.124327661592957,0.6083705859973603,0.9265156899823698,-38.1616145917406,0.3272245866562071,131.45720626316526,65.72860313158263,34.42622950819672,0.0,26.291441252633053
ema_50d_200d_long_short,4.0,110.50563642451401,15.823398064997662,51.04843488827597,0.5432239875829192,0.86570264572953,-52.32260568919778,0.3024199169091548,13.0,6.5,52.459016393442624,22.060715000000002,0.52
ema_50d_200d_long_short,8.0,109.41068825622176,15.704253799362,51.04902962882263,0.5412073888651885,0.8624767750124744,-52.36055746917633,0.2999252597455021,13.0,6.5,52.459016393442624,22.060715000000002,1.04
ema_50d_200d_long_short,13.0,108.04883253594579,15.555366878789755,51.04999036575194,0.5386844134453781,0.8584398436853021,-52.40799719414942,0.2968128474966085,13.0,6.5,52.459016393442624,22.060715000000002,1.69
ema_50d_200d_long_short,20.0,106.1549204667604,15.34700627077048,51.05174101976297,0.5351481554343455,0.8527803605198846,-52.49708829503472,0.29234014245742523,13.0,6.5,52.459016393442624,22.060715000000002,2.6
donchian_55d_20d_long_short,4.0,4.0302077006957315,0.7828026573576397,42.023620752186794,0.22897422202067477,0.3484465304402166,-60.088227747112136,0.013027554426337054,57.0,28.5,34.42622950819672,16.824632,2.2800000000000002
donchian_55d_20d_long_short,8.0,1.68222975727228,0.32977017755015936,42.02484881964427,0.21826054530472666,0.33211196470391774,-60.72355796408958,0.005430679436557017,57.0,28.5,34.42622950819672,16.824632,4.5600000000000005
donchian_55d_20d_long_short,13.0,-1.1797261968208628,-0.23392988599285625,42.027025263967936,0.20486620347316178,0.3116908443179231,-61.503903188964415,-0.0038034965890559945,57.0,28.5,32.78688524590164,16.824632,7.41
donchian_55d_20d_long_short,20.0,-5.054098512085359,-1.0182977949515393,42.03126928323664,0.18611115504297474,0.2830996130530354,-62.57110973217546,-0.016274248599875925,57.0,28.5,32.78688524590164,16.824632,11.400000000000002
