portfolio,asset,base_weight,signal_position,current_net_exposure
equal_weight_buy_hold,BTC,0.3333333333333333,1.0,0.3333333333333333
equal_weight_buy_hold,ETH,0.3333333333333333,1.0,0.3333333333333333
equal_weight_buy_hold,SOL,0.3333333333333333,1.0,0.3333333333333333
quality_tilt_buy_hold,BTC,0.6,1.0,0.6
quality_tilt_buy_hold,ETH,0.3,1.0,0.3
quality_tilt_buy_hold,SOL,0.1,1.0,0.1
equal_weight_vol_target,BTC,0.3333333333333333,0.9547402055901298,0.31824673519670993
equal_weight_vol_target,ETH,0.3333333333333333,0.6422457530318952,0.2140819176772984
equal_weight_vol_target,SOL,0.3333333333333333,0.7559795010792164,0.25199316702640545
quality_tilt_vol_target,BTC,0.6,0.9547402055901298,0.5728441233540779
quality_tilt_vol_target,ETH,0.3,0.6422457530318952,0.19267372590956858
quality_tilt_vol_target,SOL,0.1,0.7559795010792164,0.07559795010792164
btc_only_vol_target,BTC,1.0,0.9547402055901298,0.9547402055901298
